"","X.1","X","business_id","name","open_2019","neighborhood","august_2017_median","stars","review_count","categories","age","american"
"31",31,36,"_WEZNXybW8cu1T1KAiY08w","""Blizz Frozen Yogert & Desserts""",1,"The Strip",855,2.5,28,"Food;Juice Bars & Smoothies;Ice Cream & Frozen Yogurt;Desserts",2023,"0"
"32",32,37,"_y1Et7f4NE6D1P1GzphlIw","""Blaze Fast-Fire'd Pizza""",1,"Centennial",1330,4.5,343,"Salad;Gluten-Free;Restaurants;Fast Food;Pizza",1348,"0"
"33",33,38,"_yAYxyEBMIbqFL8pubaf_g","""Taco Bell""",1,"Westside",1400,4,11,"Mexican;Restaurants;Tex-Mex;Fast Food",2337,"0"
"34",34,39,"-_yEVC3_3M6YOsamYfNFEw","""Jason's Deli""",1,"Eastside",855,4,178,"Sandwiches;Salad;American (New);Restaurants;Delis",4428,"1"
"35",35,41,"-46pFijv3f2jZH-_Ze6CQA","""Vegas Uncork'd: The Grand Tasting""",1,"The Strip",1095,4,20,"Food;Wineries;Arts & Entertainment;Local Flavor",3262,"0"
"36",36,43,"-95mbLJsa0CxXhpaNL4LvA","""The Perfect Scoop & Boba Tea""",1,"Southwest",1450,3.5,609,"Ice Cream & Frozen Yogurt;Coffee & Tea;Food;Juice Bars & Smoothies;Bubble Tea;Desserts;Food Delivery Services",2005,"0"
"37",37,44,"-AD5PiuJHgdUcAK-Vxao2A","""Smashburger""",1,"University",855,3.5,274,"Restaurants;Burgers",3040,"1"
"38",38,45,"-ADtl9bLp8wNqYX1k3KuxA","""Ichi Ramen House""",1,"Centennial",1350,4,165,"Restaurants;Sushi Bars;Ramen;Asian Fusion;Japanese",555,"0"
"39",39,47,"-cOVyWUJlasj-wpMAaWwvQ","""La Flor de Michoacan""",1,"Southeast",1300,4.5,34,"Ice Cream & Frozen Yogurt;Food",989,"0"
"40",40,48,"-EohS3nXZGl6odE9Lx5BSw","""Panda Express""",1,"Eastside",1195,2,8,"Restaurants;Chinese;Fast Food",2489,"0"
"41",41,49,"-FcZY7a7qgxTUlTvwuyJnQ","""8 Noodle Bar""",1,"South Summerlin",1872.5,3.5,208,"Japanese;Asian Fusion;Chinese;Restaurants",1581,"0"
"42",42,50,"-FNquqGseSCVMWo7KbK-Tg","""Chipotle Mexican Grill""",1,"University",855,3.5,119,"Restaurants;Mexican;Fast Food",4911,"0"
"43",43,51,"-heiUEHVRPHo5xaAE8vwTg","""cakelava""",1,"Spring Valley",1300,5,18,"Food;Custom Cakes;Bakeries",1062,"0"
"44",44,52,"-JFVxwdVQfX207554dx1nw","""Teriyaki Madness""",1,"Southeast",1300,3.5,122,"Japanese;Asian Fusion;Restaurants;Hawaiian",4415,"0"
"45",45,53,"-Jo0rJr2mZxBVgaJqDs-TQ","""Chiamaka Food""",1,"Southeast",855,3,4,"South African;Restaurants;African",1363,"0"
"46",46,54,"-K82LBrI3H0FVuhTbNDpRA","""Shoku Ramen""",0,"Southeast",1395,3.5,238,"Ramen;Noodles;Japanese;Restaurants",2338,"0"
"47",47,55,"-kbPPBNsIPDfMfgUGO7QhA","""Kopper Keg South""",1,"Southeast",1395,4,22,"Restaurants;American (Traditional)",2708,"1"
"48",48,56,"-Le6cwbZL4tDZwNHwipfKg","""Marrakech""",1,"Eastside",1375,4.5,387,"Middle Eastern;Restaurants;Mediterranean;Lebanese;Moroccan",4545,"0"
"49",49,57,"-LmxQLtHixUTeQkk5G-gTw","""Cookie Zoo""",1,"Southeast",855,4.5,17,"Bakeries;Food",2771,"0"
"50",50,58,"-LMycE26AortJDsbc8oXOg","""Jack In the Box""",1,"Summerlin",1100,3,28,"Restaurants;Fast Food",3221,"0"
"51",51,59,"-mN7z9oY01Mh_-dwTyzpqg","""Einstein Bros Bagels""",1,"Spring Valley",1300,3,85,"Restaurants;Breakfast & Brunch",3139,"0"
"52",52,60,"-pGO9M4JLQJHiaCOrqCgbQ","""Port of Subs""",1,"Summerlin",1872.5,3,39,"Delis;Sandwiches;Restaurants",3136,"0"
"53",53,61,"-PGsEXB6DFTVKa1eDOlzWA","""Black Bear Diner""",1,"Westside",1400,3.5,155,"Breakfast & Brunch;American (Traditional);Restaurants;Diners",991,"1"
"54",54,62,"-PRTv5z2N687DEyW0Fkcww","""Juice Express""",0,"Southeast",855,3,13,"Food;Juice Bars & Smoothies",2616,"0"
"55",55,63,"-SGZcGqnsp_uRIjKP2RGZg","""Ranch House Grille""",1,"Southwest",1475,3.5,6,"Restaurants;American (New)",834,"1"
"56",56,64,"-Tv5UZeFHdKz3RM9vOYpaw","""Milano's Pizzeria""",1,"Eastside",1375,2.5,5,"Restaurants;Pizza",991,"0"
"57",57,65,"-UtYWvCnUppcSaC_u1pTYQ","""Kopper Keg Restaurant & Lounge""",1,"Southeast",1100,4,4,"Restaurants",2510,"0"
"58",58,67,"-wDNRL4lm1UgeFLG9KcrjQ","""Yummy Grill & Sushi""",1,"Southeast",1300,3.5,144,"Japanese;Chinese;Hawaiian;Restaurants",4326,"0"
"59",59,68,"-WLrZPzjKfrftLWaCi1QZQ","""Blueberry Hill Family Restaurant""",1,"University",855,4,672,"Restaurants;Diners;Breakfast & Brunch",4303,"0"
"60",60,69,"-YCd2_DdJUeZx3RRcmIZ_g","""Taco Bell""",1,"Spring Valley",1300,2.5,21,"Restaurants;Fast Food;Tex-Mex;Mexican",2541,"0"
"61",61,71,"0_VT3sTwi7gorIlU36ASmg","""LOL Kids Club""",1,"Southwest",1450,4,146,"Playgrounds;Event Planning & Services;Kids Activities;Bakeries;Active Life;Restaurants;Venues & Event Spaces;Food",787,"0"
"62",62,72,"011ayCokCnktQPSx-uL_SA","""McDonald's""",1,"Westside",1100,2,4,"Fast Food;Restaurants;Burgers",687,"1"
"63",63,73,"01SiPgdiOskMC5bUJoyy_g","""Winchell's Pub & Grill""",1,"Southeast",855,4,128,"Bars;Pubs;American (Traditional);Nightlife;Restaurants",4326,"1"
"64",64,74,"02giJIMo2sfua2wHfCbG-A","""Tea Space Sunset Park""",1,"Southeast",1395,4.5,43,"Juice Bars & Smoothies;Coffee & Tea;Bubble Tea;Desserts;Food;Tea Rooms",632,"0"
"65",65,75,"02pL_Xj3sTO_lHcWqUcwKA","""Rollin' Smoke BBQ""",1,"Spring Valley",1300,4,203,"Sandwiches;Southern;Barbeque;Restaurants",807,"0"
"66",66,76,"02wo3mCCkdED47sNPwuu6Q","""Baby Lou's Delights""",1,"Southeast",855,3.5,26,"Caterers;Food Delivery Services;Event Planning & Services;Bakeries;Food;Cupcakes",1649,"0"
"67",67,77,"03Yt7kMeYihN_y6ptiXxyQ","""Del Taco""",1,"Centennial",1350,3,21,"Fast Food;Restaurants;American (Traditional);Mexican",3096,"1"
"68",68,78,"05Solp0aY1YTZqoORMjUTg","""La Pupusa Loca""",1,"Sunrise",1000,2.5,9,"Restaurants;Fast Food;Mexican;Spanish;Burgers",2615,"1"
"69",69,79,"07jQarxKd_8J_AJHD5YBqQ","""Muscle Maker Grill - Las Vegas""",1,"Northwest",1350,3.5,100,"Food;American (New);Gluten-Free;Cafes;Restaurants;American (Traditional);Sandwiches;Salad;Juice Bars & Smoothies;Health & Medical;Weight Loss Centers",1685,"1"
"70",70,80,"096iGHoQ-UImxUExuyqlZA","""House of Aloha""",0,"Northwest",1330,5,13,"Hawaiian;Restaurants",585,"0"
"71",71,81,"0aw3HbxkZ4G7pkPYt10fhA","""Olive Garden Italian Restaurant""",1,"Sunrise",1000,3,109,"Italian;Bars;Wine Bars;Nightlife;Restaurants;Salad",3563,"0"
"72",72,82,"0c6PQILCLwRZ8FIB4AEsGw","""China One - West Charleston""",0,"Summerlin",1872.5,3.5,107,"Restaurants;Chinese",3576,"0"
"73",73,83,"0CB7YB1qRSWLQvMbHw3Fmw","""Easy Life Boba Tea""",1,"Westside",1400,4,329,"Bubble Tea;Desserts;Food;Juice Bars & Smoothies;Taiwanese;Coffee & Tea;Restaurants",3812,"0"
"74",74,84,"0EpnzIpeFvhISkxMTIv9WA","""Paradise Place Jamaican Cuisine""",1,"Westside",1400,4,84,"Food;Restaurants;Seafood;Caribbean",884,"0"
"75",75,85,"0FbFqMBLRGRRdZlGJeXjug","""Purple Penguin Snowcone Shack""",1,"Southwest",1495,4.5,26,"Desserts;Food;Shaved Ice;Food Trucks",2152,"0"
"76",76,86,"0FHfkDxKSeDuyAEeaY6X-Q","""Panera Bread""",1,"Eastside",1375,3.5,87,"Soup;Sandwiches;Salad;Restaurants",1310,"0"
"77",77,87,"0G1y7uV7w1D2uziS4Lt_Dw","""Chapalas Mexican Restaurants""",1,"Southeast",1100,3.5,153,"Mexican;Restaurants",4409,"0"
"78",78,88,"0gTTGuA6uEmMhLhfJi0hqA","""Sammy's Woodfired Pizza and Grill""",1,"Spring Valley",1300,3.5,130,"Restaurants;Gluten-Free;Pizza;Salad",3331,"0"
"79",79,89,"0gWg-kqRLEQbhui8b_v2Xw","""Hi Scores - Blue Diamond""",1,"Southwest",1450,4,121,"Bars;Arts & Entertainment;Arcades;Nightlife;Restaurants",1122,"0"
"80",80,90,"0Hcks5q-DgJbDlmEWolx4A","""Bonefish Grill""",1,"Westside",1400,3.5,234,"Seafood;American (New);Restaurants;Nightlife;Bars;Cocktail Bars;Soup",1661,"1"
"81",81,91,"0HG02r8ri7GEFwuwmdHCyg","""KFC""",1,"Spring Valley",1475,2,50,"Fast Food;Chicken Wings;Restaurants;Food",2290,"0"
"82",82,95,"0LD904DOPU3T_asJGOTZyg","""Fractured Prune Doughnuts""",1,"Spring Valley",1300,4.5,184,"Food;Donuts",885,"0"
"83",83,96,"0LGnU7V3nepi8NUNzyQOXw","""Einstein Bros Bagels""",1,"Centennial",1350,3.5,99,"Bagels;Restaurants;Coffee & Tea;Breakfast & Brunch;Food",3193,"0"
"84",84,97,"0mnnlFCploePlnEaddw63g","""Aurelio's Pizza""",1,"Northwest",1330,4,22,"Salad;Pizza;Italian;Restaurants",644,"0"
"85",85,98,"0odAupWjDV8gwhaLqyh1-A","""Chipotle Mexican Grill""",1,"Downtown",1100,2.5,24,"Salad;Fast Food;Mexican;Vegetarian;Restaurants",1230,"0"
"86",86,99,"0OdZXIKQypu6vplpxFilsA","""Kneaders Bakery & Cafe""",1,"Northwest",1300,3.5,202,"Bakeries;Restaurants;Desserts;Sandwiches;Food",1003,"0"
"87",87,100,"0oMs2QdhuLW3wYIJIi0wcw","""Starbucks""",1,"Southeast",1300,3,79,"Coffee & Tea;Food",4201,"0"
"88",88,101,"0p27EjcNwTI7Ey4K_MNPww","""Fatburger""",1,"South Summerlin",1872.5,3,70,"American (Traditional);Restaurants;Burgers;Fast Food",4597,"1"
"89",89,102,"0QSnurP5Ibor2zepJmEIlw","""Tacos La Mexicana""",1,"Spring Valley",1300,4,141,"Food;Food Delivery Services;Restaurants;Mexican",2328,"0"
"90",90,103,"0tWXOKgrO1tAuZhu5X8HNw","""Red Mango""",1,"Southeast",855,4,13,"Food;Ice Cream & Frozen Yogurt",1594,"0"
"91",91,104,"0UESjBq6_kPjCs4zPh4oEQ","""Chicke Now""",1,"The Strip",1375,3.5,9,"Restaurants;American (New);Chicken Shop",1825,"1"
"92",92,105,"0uR48n5SYcLE_DLcjONZPg","""Jimmy John's""",1,"University",855,4,105,"Food Delivery Services;Sandwiches;Restaurants;Delis;Food",4417,"0"
"93",93,106,"0VjHFdczi6Nln_nn8bucJQ","""Pho Bistro""",1,"Eastside",1100,4,119,"Chinese;Restaurants;Vietnamese",1595,"0"
"94",94,107,"0WoQQlMXVIDEgI0xNdENKA","""Feast Buffet""",1,"South Summerlin",1872.5,3.5,568,"Restaurants;Buffets",4398,"0"
"95",95,108,"0wW9PasC8pw8SY7rlY3ZKw","""Fish King Grill""",1,"Southeast",1395,4.5,102,"Southern;Food;Restaurants;Seafood;Cajun/Creole;Desserts;Salad",742,"0"
"96",96,111,"0zoXYHq82haayMaV952jEQ","""Greens and Proteins""",1,"Spring Valley",1300,4,355,"Sandwiches;Juice Bars & Smoothies;Pizza;Burgers;Food;Restaurants;American (New)",2249,"1"
"97",97,112,"1_eNhr53_bTPy11vvVL4Hw","""El Tinajon Cuban Food""",1,"Eastside",1100,3.5,38,"Cuban;Restaurants",1194,"0"
"98",98,113,"1-Jdq5Up9SgKoqptGvkXHA","""MVR Auto Services""",1,"Southwest",1450,4.5,74,"Automotive;Oil Change Stations;Pizza;Auto Insurance;Auto Parts & Supplies;Financial Services;Windshield Installation & Repair;Auto Glass Services;Insurance;Towing;Transmission Repair;Restaurants;Auto Repair",1047,"0"
"99",99,114,"12P7GjIoq6oj7qCyJ_c0Ag","""Little Caesars Pizza""",1,"Northwest",1330,2,26,"Restaurants;Pizza;Italian",2393,"0"
"100",100,115,"153QMny_1adtMtsf6MP95A","""Starbucks""",1,"The Strip",855,2,10,"Coffee & Tea;Food",1565,"0"
"101",101,116,"16tWXenJ1wTqugXJU7yiZg","""808 Sushi""",1,"Southwest",1250,3.5,451,"Sushi Bars;Food;Desserts;Restaurants",3355,"0"
"102",102,117,"19lr9xcN3Ud0w0UX7bl6Qw","""Subway""",1,"Centennial",1350,2.5,24,"Restaurants;Fast Food;Sandwiches",3155,"0"
"103",103,118,"19S0gFtg5GTX6CkiApJiAQ","""Frijoles & Frescas Grilled Tacos""",1,"Westside",1400,4,419,"Caterers;Event Planning & Services;Mexican;Restaurants",1829,"0"
"104",104,119,"19wIOjBlI_2EKGM8E4O6Mg","""Quiznos""",1,"Centennial",1350,3,26,"Restaurants;Sandwiches;Fast Food;Delis",2847,"0"
"105",105,120,"1B7oil1p-lkorF0ig5G54g","""The Coffee Bean & Tea Leaf""",1,"Southeast",855,3.5,78,"Food;Coffee & Tea",3183,"0"
"106",106,121,"1CTapYK3FHvpiJaQhOaaIw","""L & L Hawaiian Barbecue""",1,"Southeast",1395,3.5,92,"Hawaiian;Restaurants;Barbeque",3293,"0"
"107",107,122,"1CWMNSTRMejdSyXBG2chNg","""Fireside Restaurant & Tavern""",1,"Anthem",1300,3.5,127,"Nightlife;American (New);Bars;Gastropubs;Restaurants",4102,"1"
"108",108,123,"1diuAK7FMn93WxlK-ndJhA","""Bowlology""",1,"University",855,3.5,47,"Gluten-Free;Poke;Vegan;Food;Acai Bowls;Juice Bars & Smoothies;Restaurants",1090,"0"
"109",109,124,"1g47zyA_utx8mpgmtLc6tg","""Teriyaki Madness""",1,"The Lakes",1400,3,21,"Fast Food;Asian Fusion;Japanese;Hawaiian;Restaurants",844,"0"
"110",110,125,"1gjhtfYxlN-0xjS9Xdh66g","""Jack-In-the-Box #7239""",1,"Westside",1400,3.5,22,"Restaurants;Fast Food",3035,"0"
"111",111,126,"1h3ysSuSazvXc1aeLiiOew","""Subway""",1,"The Strip",855,3,5,"Restaurants;Fast Food;Sandwiches",915,"0"
"112",112,127,"1i9T1uoG_J3aRfprALvNGQ","""Dunkin' Donuts""",1,"Summerlin",1872.5,3,86,"Coffee & Tea;Food;Donuts",3276,"0"
"113",113,128,"1kHr1RTkm_J-dfrq-HPBug","""Viva El Taco""",1,"Sunrise",995,3.5,30,"Mexican;Restaurants",3121,"0"
"114",114,129,"1M1A-s6BbnzK3eURw01rZQ","""Rincon Catracho""",1,"University",855,3.5,59,"Restaurants;Mexican;Latin American;Honduran",3553,"1"
"115",115,130,"1ME-zOtZ9HApzJUOpR0-vQ","""El Herradero Mexican Restaurant""",1,"Southeast",855,4,82,"Mexican;Restaurants",3230,"0"
"116",116,131,"1NZNZHnGE4-FLZmU6xp3oQ","""Kung Pao Wok""",1,"Downtown",1100,2,29,"Restaurants;Chinese;Fast Food",1608,"0"
"117",117,132,"1rULAY9Q_mfZIZtPhgqnmw","""Teavana""",0,"Southeast",855,4,74,"Coffee & Tea;Food",4014,"0"
"118",118,133,"1SE9f6TEV5XhnTuuK01xwA","""Wingstop""",1,"Eastside",855,3,150,"Fast Food;Restaurants;Chicken Wings;Food",2266,"0"
"119",119,134,"1SqLPgnZEVeVYDM-AuoFhg","""Pop's Philly Steaks""",1,"Westside",1100,3.5,534,"Restaurants;Sandwiches;Cheesesteaks",4579,"0"
"120",120,136,"1UvrUFk3BXAmueL1KQaKPQ","""Fiesta Filipina Cuisine""",1,"Southwest",1250,3.5,58,"Restaurants;Filipino",1129,"0"
"121",121,137,"1Vn_lex3LGGwuTo-xeJnww","""Yogurtland""",1,"Spring Valley",1300,4,122,"Ice Cream & Frozen Yogurt;Food",3541,"0"
"122",122,138,"1WBVqmo7tgF0z0eGf4fPhQ","""Pastaidea""",1,"Summerlin",1100,4.5,364,"Restaurants;Italian;Noodles",1276,"0"
"123",123,139,"1ZhZUzFbbt1gGXDEW3JaBw","""Griff's""",1,"Chinatown",1225,4.5,32,"Nightlife;Sports Bars;American (Traditional);Restaurants;Bars;Pool Halls",869,"1"
"124",124,140,"217u7Wad7y90x4el26-TIw","""Capriotti's Sandwich Shop""",1,"Centennial",1330,4,79,"Restaurants;Sandwiches",3906,"0"
"125",125,141,"296PZdxSrtH08EUwCsOKMw","""Michael's Gourmet Room""",1,"Southeast",1300,4.5,141,"Steakhouses;Seafood;Restaurants;American (Traditional)",4608,"1"
"126",126,142,"2aPbaa0FFbN9AdPtxHqbVg","""Tables Board Game Spot""",0,"Southeast",1395,5,12,"Cafes;Shopping;Arcades;Social Clubs;Arts & Entertainment;Restaurants;Tabletop Games",673,"0"
"127",127,143,"2B46bRpDh49eDyjXGhL_ZQ","""La Maison de Maggie""",1,"Spring Valley",1400,4.5,293,"Creperies;French;Gluten-Free;Restaurants;Cafes",1337,"0"
"128",128,145,"2bK1ng2mnRdtTh_BDNGmIg","""North End Pizza""",1,"Centennial",1350,3,287,"Restaurants;Pizza;Italian",3279,"0"
"129",129,146,"2bSyNMam79SlwiHwQD6RGg","""Subway""",1,"The Lakes",1400,3.5,17,"Sandwiches;Restaurants;Fast Food",2784,"0"
"130",130,147,"2dUXkonsAdoXKAalTnmlig","""Dimas Tacos""",0,"Northwest",1330,4,35,"Restaurants;Mexican",2930,"0"
"131",131,148,"2DydwQRkIutHarWT_o1L0Q","""Don Chuy Mexican Grill""",1,"Spring Valley",1100,3,50,"Mexican;Fast Food;Tacos;Restaurants",1923,"0"
"132",132,149,"2g_auUWw7c3c2CUTgVqI8Q","""Pho 88""",1,"Southwest",1450,4.5,95,"Vietnamese;Noodles;Restaurants",689,"0"
"133",133,150,"2GzQ1Cc7eDWhKrqNAR1kAA","""Chipotle Mexican Grill""",1,"Eastside",1375,3,32,"Mexican;Restaurants;Fast Food",1363,"0"
"134",134,151,"2hrj6ISpLJmvRen3AZkBWw","""Subway""",1,"Northwest",1350,3,13,"Restaurants;Sandwiches;Fast Food",2289,"0"
"135",135,152,"2hSIeCX2cV-chFcBBXrZZA","""Pressed For Juice""",1,"Spring Valley",1475,4.5,161,"Juice Bars & Smoothies;Food;Organic Stores;Restaurants;Coffee & Tea;Gluten-Free",1477,"0"
"136",136,153,"2HxaDXZmAOH6LiuzGgNdPA","""Farmer Boys""",1,"Spring Valley",1100,3,161,"Mexican;Salad;Burgers;American (Traditional);Restaurants;Sandwiches;Breakfast & Brunch",1193,"1"
"137",137,154,"2IvrdAb6zdxr3ZqplqJHbg","""Jose Cuervo Tequileria""",1,"Southeast",855,2,434,"Restaurants;Mexican",4319,"0"
"138",138,155,"2koVk44qPX7mV8irHO_e3A","""Filipino Fast Food & Asian Market""",1,"Southeast",1395,3.5,10,"Restaurants;Fast Food;Filipino",1144,"0"
"139",139,156,"2kWrSFkIes_d2BMg4YrRtA","""Pizza Hut""",1,"Sunrise",1000,2.5,15,"Restaurants;Pizza",2125,"0"
"140",140,157,"2LNnIARy-lGmrlEMZSxZ1w","""Great Buns Bakery""",1,"Eastside",1100,4.5,126,"Food;Desserts;Restaurants;Sandwiches;Bakeries",4572,"0"
"141",141,158,"2nEhcvxBZk2W4x_fi0cYxw","""Roberto's Taco Shop""",1,"Sunrise",1000,2.5,13,"Restaurants;Mexican;Fast Food",4393,"0"
"142",142,159,"2oSmaFSi0GSDPTOHOKeQHQ","""P-Dub's BBQ""",1,"Eastside",1375,3,4,"Barbeque;Restaurants",764,"0"
"143",143,160,"2pcrNqDnsFd6UCelOriVlw","""Taco Bell""",1,"Northwest",1095,2.5,11,"Fast Food;Mexican;Restaurants;Tex-Mex",3534,"0"
"144",144,161,"2pTq2dbPsSQwQJWUH5tE-w","""Taco Bell""",1,"Summerlin",1872.5,3,26,"Fast Food;Tex-Mex;Mexican;Restaurants",2873,"0"
"145",145,162,"2Q9Mgkc7iFHuKoD_z7kJkQ","""Lokuras""",1,"Chinatown",1225,4.5,44,"Desserts;Restaurants;Food;Mexican;Shaved Ice;Ice Cream & Frozen Yogurt",1017,"0"
"146",146,163,"2rvBPUBtQU0WfcOAHLQWRQ","""Crunch Donut Factory""",1,"University",855,3.5,105,"Cupcakes;Food;Restaurants;Donuts;Desserts;Ice Cream & Frozen Yogurt;Waffles",889,"0"
"147",147,164,"2s2ww6WaulfOEI16s1uyDg","""Cafe Darak""",1,"Spring Valley",1300,4,308,"Food;Coffee & Tea",1836,"0"
"148",148,165,"2SfSzEd3B7WimeZac23zhg","""Leoné Café""",1,"Westside",1510,4,539,"Breakfast & Brunch;Restaurants;Cafes;Food;Italian;Coffee & Tea",2889,"0"
"149",149,166,"2sjfncn3GNHpKZDAcsm1Uw","""Mariscos El Tapatio""",1,"Southeast",1300,4.5,17,"Mexican;Restaurants",1014,"0"
"150",150,167,"2Wl4o7l54I-EtxtaDpOTzA","""Pub 365""",1,"Eastside",1375,4,110,"Beer Bar;Burgers;Salad;American (Traditional);Mexican;Restaurants;Bars;Nightlife;Pubs",1018,"1"
"151",151,168,"2xCswTbQwG6CVka0U3XayQ","""Pho Kitchen""",0,"Chinatown",1225,4,20,"Restaurants;Vietnamese",696,"0"
"152",152,169,"2xjMLX8vNpQEisRKPgbP_w","""Rolling In Dough Bakery""",1,"Summerlin",1872.5,3.5,174,"Bakeries;Food",4313,"0"
