"","business_id","name","neighborhood","address","postal_code","stars","review_count","categories","open_2019","american","age","chain"
"72","-dGORHtjPRnQzTZ2-SYa_g","""Great Wraps""","The Strip","""3200 Las Vegas Blvd S""","89109",3,25,"Restaurants;Sandwiches",1,"0",3733,FALSE
"73","-ed0Yc9on37RoIoG2ZgxBA","""Le Thai""","Downtown","""523 Fremont St""","89101",4,1355,"Restaurants;Beer Gardens;Nightlife;Thai",1,"0",2721,FALSE
"74","-EohS3nXZGl6odE9Lx5BSw","""Panda Express""","Eastside","""5516 Boulder Hwy""","89122",2,8,"Restaurants;Chinese;Fast Food",1,"0",2495,FALSE
"75","-FcZY7a7qgxTUlTvwuyJnQ","""8 Noodle Bar""","South Summerlin","""11011 W Charleston Blvd""","89135",3.5,208,"Japanese;Asian Fusion;Chinese;Restaurants",1,"0",1587,FALSE
"76","-FNquqGseSCVMWo7KbK-Tg","""Chipotle Mexican Grill""","University","""4530 S Maryland Pkwy""","89119",3.5,119,"Restaurants;Mexican;Fast Food",1,"0",4917,FALSE
"77","-G7MPSNBpxRJmtrJxdwt7A","""La Costa Del Sol""","Sunrise","""2208 S Nellis Blvd""","89104",3.5,37,"Restaurants;Salvadoran;Mexican;Latin American",1,"1",4252,FALSE
"78","-gXDD2oSHBDA3zgjX6g9pQ","""The Plate Bar & Grill""","Sunrise","""2396 S Lamb Blvd""","89104",4,10,"Pubs;Sports Bars;Nightlife;Restaurants;American (Traditional);Bars",1,"1",786,FALSE
"79","-heiUEHVRPHo5xaAE8vwTg","""cakelava""","Spring Valley","""4555 S Fort Apache Rd, Ste 122""","89147",5,18,"Food;Custom Cakes;Bakeries",1,"0",1068,FALSE
"80","-hzQQ8tbXThpp0k5E_y1Dw","""Blizz""","The Strip","""3799 Las Vegas Blvd S""","89109",3,65,"Food;Restaurants;Desserts;Ice Cream & Frozen Yogurt",1,"0",2578,FALSE
"81","-iBk1_3M_efQtY6Bcygp5w","""Viva Salsa""",NA,"""4111 Boulder Hwy""","89121",4.5,8,"Restaurants;Mexican",1,"0",2272,FALSE
"82","-ifVnqwrgCE3Nc4svkJDMg","""Starbucks""","The Strip","""3667 S Las Vegas Blvd""","89109",2,44,"Coffee & Tea;Food",1,"0",3227,TRUE
"83","-IWsoxH7mLJTTpU5MmWY4w","""Pho Kinh Do""","Chinatown","""4300 Spring Mountain Rd, Ste 101""","89102",4,742,"Vietnamese;Restaurants;Noodles",1,"0",3207,FALSE
"84","-jEyZSptICvvaNhuur9rUg","""Barista Bagels""","The Strip","""2880 S Las Vegas Blvd""","89109",2.5,11,"Bagels;Coffee & Tea;Breakfast & Brunch;Restaurants;Food",1,"0",4085,FALSE
"85","-JFVxwdVQfX207554dx1nw","""Teriyaki Madness""","Southeast","""9845 S Maryland Pkwy, Ste C""","89183",3.5,122,"Japanese;Asian Fusion;Restaurants;Hawaiian",1,"0",4421,FALSE
"86","-Jo0rJr2mZxBVgaJqDs-TQ","""Chiamaka Food""","Southeast","""5006 S Maryland Pkwy, Ste 11""","89119",3,4,"South African;Restaurants;African",1,"0",1369,FALSE
"87","-Jx2rd2rH7MlWfb9RMtCFQ","""Kraken Cafe""","Downtown","""2025 E Sahara Ave""","89104",3.5,26,"Food;Food Trucks",1,"0",1554,FALSE
"88","-K82LBrI3H0FVuhTbNDpRA","""Shoku Ramen""","Southeast","""470 E Windmill Ln, Ste 110""","89123",3.5,238,"Ramen;Noodles;Japanese;Restaurants",0,"0",2344,FALSE
"89","-kbPPBNsIPDfMfgUGO7QhA","""Kopper Keg South""","Southeast","""2375 E Torino Ave""","89123",4,22,"Restaurants;American (Traditional)",1,"1",2714,FALSE
"90","-kFyzXRzOlyoL4NyzoVkMA","""Breakfast Buffet at Trump International Tower""","The Strip","""2000 Fashion Show Dr""","89109",3,4,"Tapas/Small Plates;Buffets;Restaurants",1,"0",2944,FALSE
"91","-Le6cwbZL4tDZwNHwipfKg","""Marrakech""","Eastside","""3900 Paradise Rd, Ste Y""","89169",4.5,387,"Middle Eastern;Restaurants;Mediterranean;Lebanese;Moroccan",1,"0",4551,FALSE
"92","-leM8v_oCbtzTthTln-YHg","""Carl's Jr And Green Burrito""","Eastside","""1180 E Desert Inn Rd""","89109",3,18,"Burgers;Fast Food;Restaurants",1,"1",4050,FALSE
"93","-LmxQLtHixUTeQkk5G-gTw","""Cookie Zoo""","Southeast","""1525 E Sunset Rd, Ste 10""","89119",4.5,17,"Bakeries;Food",1,"0",2777,FALSE
"94","-LMycE26AortJDsbc8oXOg","""Jack In the Box""","Summerlin","""7510 W Lake Mead Blvd""","89128",3,28,"Restaurants;Fast Food",1,"0",3227,FALSE
"95","-LzUYsR54hd8cCiYXTquRA","""Medley Buffet""",NA,"""4500 W Tropicana Ave""","89103",3,360,"Restaurants;Buffets",1,"0",4401,FALSE
"96","-mN7z9oY01Mh_-dwTyzpqg","""Einstein Bros Bagels""","Spring Valley","""9540 W Flamingo Rd""","89147",3,85,"Restaurants;Breakfast & Brunch",1,"0",3145,FALSE
"97","-N_agk8RUHvHk3GVDsyunQ","""Hitchin Post Saloon & Steakhouse""",NA,"""3650 Las Vegas Blvd N""","89115",4,55,"Event Planning & Services;Bars;Nightlife;Restaurants;Breakfast & Brunch;Steakhouses;Lounges;Venues & Event Spaces",1,"1",3283,FALSE
"98","-NjZ5HZApXjRJaTVZeSO_w","""San Salvador Restaurant""",NA,"""6651 Smoke Ranch Rd""","89108",4,24,"Restaurants;Salvadoran;Mexican;Latin American;American (New)",1,"1",2837,FALSE
"99","-pG5srxtnRkd1bdIYn78xA","""Carlitos Cuban Food""",NA,"""115 N Decatur Blvd""","89107",4,10,"Cuban;Restaurants;Cafeteria",1,"0",553,TRUE
"100","-pGO9M4JLQJHiaCOrqCgbQ","""Port of Subs""","Summerlin","""10260 West Charleston Blvd, Ste 2""","89135",3,39,"Delis;Sandwiches;Restaurants",1,"0",3142,FALSE
"101","-PGsEXB6DFTVKa1eDOlzWA","""Black Bear Diner""","Westside","""8565 W Sahara Ave""","89117",3.5,155,"Breakfast & Brunch;American (Traditional);Restaurants;Diners",1,"1",997,FALSE
"102","-PRTv5z2N687DEyW0Fkcww","""Juice Express""","Southeast","""5757 Wayne Newton Blvd""","89119",3,13,"Food;Juice Bars & Smoothies",0,"0",2622,FALSE
"103","-Qkx7W0itbAApcG5lJuMFQ","""Jaburritos""","The Strip","""3535 S Las Vegas Blvd""","89109",4.5,189,"Mexican;Japanese;Restaurants;Asian Fusion;Sushi Bars;Seafood",1,"0",810,FALSE
"104","-QNQ4R1VgRoL4b6lC8Anrg","""Mizuya""","The Strip","""3950 S Las Vegas Blvd""","89109",3,121,"Sushi Bars;Bars;Japanese;Restaurants;Nightlife;Lounges",1,"0",3557,FALSE
"105","-RdenSl5COgnPqaANI3kCQ","""The Coffee Bean & Tea Leaf""","The Strip","""3200 S. Las Vegas Blvd, Fashion Show Mall #5533""","89109",3,18,"Food;Coffee & Tea",1,"0",2318,TRUE
"106","-RJ216TTIghZshCkUlD1WQ","""Sushi Takashi""","Chinatown","""5300 W Spring Mountain Rd""","89146",4.5,241,"Sushi Bars;Japanese;Restaurants",1,"0",1417,FALSE
"107","-sEbDB_5jI_yIlklu1o1VQ","""Haifa Restaurant""","Eastside","""900 E Karen Ave, Ste H102""","89109",3.5,12,"Halal;Mediterranean;Moroccan;Kosher;Restaurants",1,"0",1346,FALSE
"108","-SGZcGqnsp_uRIjKP2RGZg","""Ranch House Grille""","Southwest","""20 East Rhodes Ranch Pkwy""","89148",3.5,6,"Restaurants;American (New)",1,"1",840,FALSE
"109","-SWWUof5TuWDVL5SEAml8Q","""Wildburger""",NA,"""1901 N Rancho Dr""","89106",4,3,"Burgers;Hot Dogs;Restaurants",1,"1",2102,FALSE
"110","-tseCGdDvepLP8IIWtZikQ","""Polish Deli""","Westside","""5900 W Charleston Blvd""","89146",4.5,30,"Restaurants;Salad;Sandwiches;Delis",1,"0",4079,FALSE
"111","-Tv5UZeFHdKz3RM9vOYpaw","""Milano's Pizzeria""","Eastside","""4640 Paradise Rd, Ste 8""","89169",2.5,5,"Restaurants;Pizza",1,"0",997,FALSE
"112","-U7tvCtaraTQ9b0zBhpBMA","""MGM Grand Buffet""","The Strip","""3799 Las Vegas Blvd S""","89109",2.5,1005,"American (Traditional);Buffets;Restaurants",1,"1",4578,FALSE
"113","-uRn5Hf1uo4vf3UTtOvIfA","""Don Tortaco Mexican Grill""",NA,"""3085 N Rainbow Blvd""","89108",3.5,32,"Mexican;Restaurants",1,"0",2615,FALSE
"114","-UtYWvCnUppcSaC_u1pTYQ","""Kopper Keg Restaurant & Lounge""","Southeast","""4550 E Tropicana Ave""","89121",4,4,"Restaurants",1,"0",2516,FALSE
"115","-wCtRhzWJ40Z4F8mmg7kWg","""Herringbone""","The Strip","""3730 Las Vegas Blvd S""","89109",4,354,"Seafood;Restaurants;American (New)",1,"1",1215,FALSE
"116","-wDNRL4lm1UgeFLG9KcrjQ","""Yummy Grill & Sushi""","Southeast","""9711 S Eastern Ave""","89183",3.5,144,"Japanese;Chinese;Hawaiian;Restaurants",1,"0",4332,FALSE
"117","-WLrZPzjKfrftLWaCi1QZQ","""Blueberry Hill Family Restaurant""","University","""1505 E Flamingo Rd""","89119",4,672,"Restaurants;Diners;Breakfast & Brunch",1,"0",4309,FALSE
"118","-XKG6GamlSBwy5AcXQGAfA","""Rickenbackers Cafe""",NA,"""5941 Fitzgerald Blvd""","89191",3,6,"Restaurants;Cafes",1,"0",4123,FALSE
"119","-xX-Vjol_fwWaN2mn1F1wg","""Voodoo Pizza""","The Strip","""3755 S Las Vegas Blvd""","89109",4.5,11,"Pizza;Restaurants",1,"0",652,FALSE
"120","-yApKLEFAvvNyifvpNKWCA","""Luv It Frozen Custard""","Downtown","""505 E Oakey Blvd""","89104",4,656,"Ice Cream & Frozen Yogurt;Food",1,"0",4985,FALSE
"121","-YCd2_DdJUeZx3RRcmIZ_g","""Taco Bell""","Spring Valley","""3595 S Durango Dr""","89147",2.5,21,"Restaurants;Fast Food;Tex-Mex;Mexican",1,"0",2547,TRUE
"122","-Ylpy3VyRWwubf9dysuwjQ","""The Cheesecake Factory""","The Strip","""3500 S Las Vegas Blvd""","89109",4,584,"American (Traditional);Seafood;Desserts;Restaurants;Food;American (New)",1,"1",4849,FALSE
"123","-YWr1wm_NaAlgEf9TZzsMQ","""Jumbo Super Buffet""","Westside","""1617 S Decatur Blvd""","89102",2,96,"Buffets;Sushi Bars;Restaurants;Chinese",1,"0",3401,FALSE
"124","-zbJp3NGEhvmNOiFziN8Lg","""Lopez Restaurant""","Downtown","""1720 E Charleston Blvd, Ste 13""","89104",4.5,3,"Restaurants;Mexican;Food",1,"0",1465,FALSE
"125","-zkn2p1mu9g-kbGNdM1lUA","""Chinos Locos""","Downtown","""321 S Casino Center Blvd, Ste 130""","89101",3.5,7,"Event Planning & Services;Restaurants;Asian Fusion;Venues & Event Spaces",1,"0",561,FALSE
"126","0_mJttUgHIzC-NO18gcgBA","""La Mojarra Loca Grill""","Eastside","""2797 S Maryland Pkwy""","89109",4,187,"Bars;Restaurants;Nightlife;Mexican;Seafood",1,"0",1341,FALSE
"127","0_VT3sTwi7gorIlU36ASmg","""LOL Kids Club""","Southwest","""7460 S Rainbow Blvd, Unit 130""","89139",4,146,"Playgrounds;Event Planning & Services;Kids Activities;Bakeries;Active Life;Restaurants;Venues & Event Spaces;Food",1,"0",793,FALSE
"128","011ayCokCnktQPSx-uL_SA","""McDonald's""","Westside","""4300 Meadows Ln""","89107",2,4,"Fast Food;Restaurants;Burgers",1,"1",693,TRUE
"129","01Ov9eDxKRY5k6ImMdiWLQ","""Hong Kong Garden Seafood & BBQ Cafe""","Chinatown","""3407 S Jones Blvd""","89146",3,166,"Barbeque;Chinese;Restaurants;Seafood",0,"0",2642,FALSE
"130","01SiPgdiOskMC5bUJoyy_g","""Winchell's Pub & Grill""","Southeast","""199 E Warm Springs Rd""","89119",4,128,"Bars;Pubs;American (Traditional);Nightlife;Restaurants",1,"1",4332,FALSE
"131","01VPJkcU0m8WzlA7dCEpVQ","""Tea Space""","Chinatown","""3466 S Decatur Blvd, Ste E""","89102",4.5,220,"Bubble Tea;Restaurants;Coffee & Tea;American (Traditional);Food;Juice Bars & Smoothies;Tea Rooms;Taiwanese",1,"1",1071,FALSE
"132","02giJIMo2sfua2wHfCbG-A","""Tea Space Sunset Park""","Southeast","""7425 S Eastern Ave, Ste 102""","89123",4.5,43,"Juice Bars & Smoothies;Coffee & Tea;Bubble Tea;Desserts;Food;Tea Rooms",1,"0",638,FALSE
