"","X","business_id","name","open_2019","neighborhood","august_2017_median","stars","review_count","categories","age"
"20",21,"_K2_Yf_ltfhuJ2JGCOs85g","""S7 Buffet""",1,"Eastside",1375,2.5,106,"Buffets;Restaurants","2009-07-29"
"21",22,"_Kd0kQ8RF70hJ1ykLqCRyQ","""Cafe Rio""",1,"Southeast",1395,3.5,340,"Mexican;Restaurants","2007-12-13"
"22",23,"_kdpjoGrIzA64E6aXHA66w","""Barcelona Tapas""",0,"Southwest",1495,4,413,"Restaurants;Tapas Bars;Spanish","2009-09-06"
"23",25,"_O5zubqsiY9kEaNAmR-24w","""The Baking Cup Sweet Shop""",1,"Summerlin",1100,5,32,"Farmers Market;Bakeries;Cupcakes;Food;Desserts","2014-09-13"
"24",26,"_OTl6V2oUfMMmoDWD2nXVg","""Beau Monde Bakery""",0,"Summerlin",1100,4,80,"Food;Gluten-Free;Restaurants;Bakeries","2011-08-25"
"25",27,"_paJE9yQfSvo25BKBQrKZA","""El Pollo Loco""",1,"Southeast",1395,3,62,"Fast Food;Restaurants;Mexican","2010-06-19"
"26",28,"_QvGAqMmrUIlxpby2Ul5Dg","""Dona Maria Tamales Restaurant""",1,"Northwest",1300,3.5,242,"Food;Desserts;Mexican;Seafood;Restaurants","2007-08-31"
"27",29,"_RiwESa2w64ls6y_5tE4CA","""Yoshi Burritos""",1,"Spring Valley",1300,4.5,161,"Food;Sushi Bars;Restaurants;Poke;Asian Fusion","2016-11-22"
"28",30,"_sh6mIBWZis66mAjkjN8Qg","""Rachel's Kitchen""",1,"Summerlin",1550,3.5,227,"Breakfast & Brunch;American (New);American (Traditional);Sandwiches;Restaurants;Juice Bars & Smoothies;Food","2012-11-03"
"29",32,"_TRbETlhqQq0OLzWbAPkvA","""Ace Donuts""",1,"Spring Valley",1300,4,136,"Food;Donuts","2014-12-21"
"30",34,"_V0yJdpXrbdKzBDoVSJGWA","""Silver Sevens Hotel and Casino""",1,"Eastside",1375,2.5,319,"Hotels & Travel;Hotels;American (Traditional);Food;Event Planning & Services;Restaurants;Arts & Entertainment;Casinos;Do-It-Yourself Food","2013-07-16"
"31",36,"_WEZNXybW8cu1T1KAiY08w","""Blizz Frozen Yogert & Desserts""",1,"The Strip",855,2.5,28,"Food;Juice Bars & Smoothies;Ice Cream & Frozen Yogurt;Desserts","2013-09-30"
"32",37,"_y1Et7f4NE6D1P1GzphlIw","""Blaze Fast-Fire'd Pizza""",1,"Centennial",1330,4.5,343,"Salad;Gluten-Free;Restaurants;Fast Food;Pizza","2015-08-06"
"33",38,"_yAYxyEBMIbqFL8pubaf_g","""Taco Bell""",1,"Westside",1400,4,11,"Mexican;Restaurants;Tex-Mex;Fast Food","2012-11-20"
"34",39,"-_yEVC3_3M6YOsamYfNFEw","""Jason's Deli""",1,"Eastside",855,4,178,"Sandwiches;Salad;American (New);Restaurants;Delis","2007-03-01"
"35",41,"-46pFijv3f2jZH-_Ze6CQA","""Vegas Uncork'd: The Grand Tasting""",1,"The Strip",1095,4,20,"Food;Wineries;Arts & Entertainment;Local Flavor","2010-05-10"
"36",43,"-95mbLJsa0CxXhpaNL4LvA","""The Perfect Scoop & Boba Tea""",1,"Southwest",1450,3.5,609,"Ice Cream & Frozen Yogurt;Coffee & Tea;Food;Juice Bars & Smoothies;Bubble Tea;Desserts;Food Delivery Services","2013-10-18"
"37",44,"-AD5PiuJHgdUcAK-Vxao2A","""Smashburger""",1,"University",855,3.5,274,"Restaurants;Burgers","2010-12-18"
"38",45,"-ADtl9bLp8wNqYX1k3KuxA","""Ichi Ramen House""",1,"Centennial",1350,4,165,"Restaurants;Sushi Bars;Ramen;Asian Fusion;Japanese","2017-10-07"
"39",47,"-cOVyWUJlasj-wpMAaWwvQ","""La Flor de Michoacan""",1,"Southeast",1300,4.5,34,"Ice Cream & Frozen Yogurt;Food","2016-07-30"
"40",48,"-EohS3nXZGl6odE9Lx5BSw","""Panda Express""",1,"Eastside",1195,2,8,"Restaurants;Chinese;Fast Food","2012-06-21"
"41",49,"-FcZY7a7qgxTUlTvwuyJnQ","""8 Noodle Bar""",1,"South Summerlin",1872.5,3.5,208,"Japanese;Asian Fusion;Chinese;Restaurants","2014-12-16"
"42",50,"-FNquqGseSCVMWo7KbK-Tg","""Chipotle Mexican Grill""",1,"University",855,3.5,119,"Restaurants;Mexican;Fast Food","2005-11-03"
"43",51,"-heiUEHVRPHo5xaAE8vwTg","""cakelava""",1,"Spring Valley",1300,5,18,"Food;Custom Cakes;Bakeries","2016-05-18"
"44",52,"-JFVxwdVQfX207554dx1nw","""Teriyaki Madness""",1,"Southeast",1300,3.5,122,"Japanese;Asian Fusion;Restaurants;Hawaiian","2007-03-14"
"45",53,"-Jo0rJr2mZxBVgaJqDs-TQ","""Chiamaka Food""",1,"Southeast",855,3,4,"South African;Restaurants;African","2015-07-22"
"46",54,"-K82LBrI3H0FVuhTbNDpRA","""Shoku Ramen""",0,"Southeast",1395,3.5,238,"Ramen;Noodles;Japanese;Restaurants","2012-11-19"
"47",55,"-kbPPBNsIPDfMfgUGO7QhA","""Kopper Keg South""",1,"Southeast",1395,4,22,"Restaurants;American (Traditional)","2011-11-15"
"48",56,"-Le6cwbZL4tDZwNHwipfKg","""Marrakech""",1,"Eastside",1375,4.5,387,"Middle Eastern;Restaurants;Mediterranean;Lebanese;Moroccan","2006-11-04"
"49",57,"-LmxQLtHixUTeQkk5G-gTw","""Cookie Zoo""",1,"Southeast",855,4.5,17,"Bakeries;Food","2011-09-13"
"50",58,"-LMycE26AortJDsbc8oXOg","""Jack In the Box""",1,"Summerlin",1100,3,28,"Restaurants;Fast Food","2010-06-20"
"51",59,"-mN7z9oY01Mh_-dwTyzpqg","""Einstein Bros Bagels""",1,"Spring Valley",1300,3,85,"Restaurants;Breakfast & Brunch","2010-09-10"
"52",60,"-pGO9M4JLQJHiaCOrqCgbQ","""Port of Subs""",1,"Summerlin",1872.5,3,39,"Delis;Sandwiches;Restaurants","2010-09-13"
"53",61,"-PGsEXB6DFTVKa1eDOlzWA","""Black Bear Diner""",1,"Westside",1400,3.5,155,"Breakfast & Brunch;American (Traditional);Restaurants;Diners","2016-07-28"
"54",62,"-PRTv5z2N687DEyW0Fkcww","""Juice Express""",0,"Southeast",855,3,13,"Food;Juice Bars & Smoothies","2012-02-15"
"55",63,"-SGZcGqnsp_uRIjKP2RGZg","""Ranch House Grille""",1,"Southwest",1475,3.5,6,"Restaurants;American (New)","2017-01-01"
"56",64,"-Tv5UZeFHdKz3RM9vOYpaw","""Milano's Pizzeria""",1,"Eastside",1375,2.5,5,"Restaurants;Pizza","2016-07-28"
"57",65,"-UtYWvCnUppcSaC_u1pTYQ","""Kopper Keg Restaurant & Lounge""",1,"Southeast",1100,4,4,"Restaurants","2012-05-31"
"58",66,"-wc2xBQ0qVouQnHloAn_ww","""Agua Water Store""",1,"Southeast",1100,4,8,"Water Purification Services;Food;Water Stores;Home Services","2015-08-28"
"59",67,"-wDNRL4lm1UgeFLG9KcrjQ","""Yummy Grill & Sushi""",1,"Southeast",1300,3.5,144,"Japanese;Chinese;Hawaiian;Restaurants","2007-06-11"
"60",68,"-WLrZPzjKfrftLWaCi1QZQ","""Blueberry Hill Family Restaurant""",1,"University",855,4,672,"Restaurants;Diners;Breakfast & Brunch","2007-07-04"
"61",69,"-YCd2_DdJUeZx3RRcmIZ_g","""Taco Bell""",1,"Spring Valley",1300,2.5,21,"Restaurants;Fast Food;Tex-Mex;Mexican","2012-04-30"
"62",71,"0_VT3sTwi7gorIlU36ASmg","""LOL Kids Club""",1,"Southwest",1450,4,146,"Playgrounds;Event Planning & Services;Kids Activities;Bakeries;Active Life;Restaurants;Venues & Event Spaces;Food","2017-02-17"
"63",72,"011ayCokCnktQPSx-uL_SA","""McDonald's""",1,"Westside",1100,2,4,"Fast Food;Restaurants;Burgers","2017-05-28"
"64",73,"01SiPgdiOskMC5bUJoyy_g","""Winchell's Pub & Grill""",1,"Southeast",855,4,128,"Bars;Pubs;American (Traditional);Nightlife;Restaurants","2007-06-11"
"65",74,"02giJIMo2sfua2wHfCbG-A","""Tea Space Sunset Park""",1,"Southeast",1395,4.5,43,"Juice Bars & Smoothies;Coffee & Tea;Bubble Tea;Desserts;Food;Tea Rooms","2017-07-22"
"66",75,"02pL_Xj3sTO_lHcWqUcwKA","""Rollin' Smoke BBQ""",1,"Spring Valley",1300,4,203,"Sandwiches;Southern;Barbeque;Restaurants","2017-01-28"
"67",76,"02wo3mCCkdED47sNPwuu6Q","""Baby Lou's Delights""",1,"Southeast",855,3.5,26,"Caterers;Food Delivery Services;Event Planning & Services;Bakeries;Food;Cupcakes","2014-10-09"
"68",77,"03Yt7kMeYihN_y6ptiXxyQ","""Del Taco""",1,"Centennial",1350,3,21,"Fast Food;Restaurants;American (Traditional);Mexican","2010-10-23"
"69",78,"05Solp0aY1YTZqoORMjUTg","""La Pupusa Loca""",1,"Sunrise",1000,2.5,9,"Restaurants;Fast Food;Mexican;Spanish;Burgers","2012-02-16"
"70",79,"07jQarxKd_8J_AJHD5YBqQ","""Muscle Maker Grill - Las Vegas""",1,"Northwest",1350,3.5,100,"Food;American (New);Gluten-Free;Cafes;Restaurants;American (Traditional);Sandwiches;Salad;Juice Bars & Smoothies;Health & Medical;Weight Loss Centers","2014-09-03"
"71",80,"096iGHoQ-UImxUExuyqlZA","""House of Aloha""",0,"Northwest",1330,5,13,"Hawaiian;Restaurants","2017-09-07"
"72",81,"0aw3HbxkZ4G7pkPYt10fhA","""Olive Garden Italian Restaurant""",1,"Sunrise",1000,3,109,"Italian;Bars;Wine Bars;Nightlife;Restaurants;Salad","2009-07-13"
"73",82,"0c6PQILCLwRZ8FIB4AEsGw","""China One - West Charleston""",0,"Summerlin",1872.5,3.5,107,"Restaurants;Chinese","2009-06-30"
"74",83,"0CB7YB1qRSWLQvMbHw3Fmw","""Easy Life Boba Tea""",1,"Westside",1400,4,329,"Bubble Tea;Desserts;Food;Juice Bars & Smoothies;Taiwanese;Coffee & Tea;Restaurants","2008-11-06"
"75",84,"0EpnzIpeFvhISkxMTIv9WA","""Paradise Place Jamaican Cuisine""",1,"Westside",1400,4,84,"Food;Restaurants;Seafood;Caribbean","2016-11-12"
"76",85,"0FbFqMBLRGRRdZlGJeXjug","""Purple Penguin Snowcone Shack""",1,"Southwest",1495,4.5,26,"Desserts;Food;Shaved Ice;Food Trucks","2013-05-24"
"77",86,"0FHfkDxKSeDuyAEeaY6X-Q","""Panera Bread""",1,"Eastside",1375,3.5,87,"Soup;Sandwiches;Salad;Restaurants","2015-09-13"
"78",87,"0G1y7uV7w1D2uziS4Lt_Dw","""Chapalas Mexican Restaurants""",1,"Southeast",1100,3.5,153,"Mexican;Restaurants","2007-03-20"
"79",88,"0gTTGuA6uEmMhLhfJi0hqA","""Sammy's Woodfired Pizza and Grill""",1,"Spring Valley",1300,3.5,130,"Restaurants;Gluten-Free;Pizza;Salad","2010-03-02"
"80",89,"0gWg-kqRLEQbhui8b_v2Xw","""Hi Scores - Blue Diamond""",1,"Southwest",1450,4,121,"Bars;Arts & Entertainment;Arcades;Nightlife;Restaurants","2016-03-19"
"81",90,"0Hcks5q-DgJbDlmEWolx4A","""Bonefish Grill""",1,"Westside",1400,3.5,234,"Seafood;American (New);Restaurants;Nightlife;Bars;Cocktail Bars;Soup","2014-09-27"
"82",91,"0HG02r8ri7GEFwuwmdHCyg","""KFC""",1,"Spring Valley",1475,2,50,"Fast Food;Chicken Wings;Restaurants;Food","2013-01-06"
"83",95,"0LD904DOPU3T_asJGOTZyg","""Fractured Prune Doughnuts""",1,"Spring Valley",1300,4.5,184,"Food;Donuts","2016-11-11"
"84",96,"0LGnU7V3nepi8NUNzyQOXw","""Einstein Bros Bagels""",1,"Centennial",1350,3.5,99,"Bagels;Restaurants;Coffee & Tea;Breakfast & Brunch;Food","2010-07-18"
"85",97,"0mnnlFCploePlnEaddw63g","""Aurelio's Pizza""",1,"Northwest",1330,4,22,"Salad;Pizza;Italian;Restaurants","2017-07-10"
"86",98,"0odAupWjDV8gwhaLqyh1-A","""Chipotle Mexican Grill""",1,"Downtown",1100,2.5,24,"Salad;Fast Food;Mexican;Vegetarian;Restaurants","2015-12-02"
"87",99,"0OdZXIKQypu6vplpxFilsA","""Kneaders Bakery & Cafe""",1,"Northwest",1300,3.5,202,"Bakeries;Restaurants;Desserts;Sandwiches;Food","2016-07-16"
"88",100,"0oMs2QdhuLW3wYIJIi0wcw","""Starbucks""",1,"Southeast",1300,3,79,"Coffee & Tea;Food","2007-10-14"
"89",101,"0p27EjcNwTI7Ey4K_MNPww","""Fatburger""",1,"South Summerlin",1872.5,3,70,"American (Traditional);Restaurants;Burgers;Fast Food","2006-09-13"
"90",102,"0QSnurP5Ibor2zepJmEIlw","""Tacos La Mexicana""",1,"Spring Valley",1300,4,141,"Food;Food Delivery Services;Restaurants;Mexican","2012-11-29"
"91",103,"0tWXOKgrO1tAuZhu5X8HNw","""Red Mango""",1,"Southeast",855,4,13,"Food;Ice Cream & Frozen Yogurt","2014-12-03"
"92",104,"0UESjBq6_kPjCs4zPh4oEQ","""Chicke Now""",1,"The Strip",1375,3.5,9,"Restaurants;American (New);Chicken Shop","2014-04-16"
"93",105,"0uR48n5SYcLE_DLcjONZPg","""Jimmy John's""",1,"University",855,4,105,"Food Delivery Services;Sandwiches;Restaurants;Delis;Food","2007-03-12"
"94",106,"0VjHFdczi6Nln_nn8bucJQ","""Pho Bistro""",1,"Eastside",1100,4,119,"Chinese;Restaurants;Vietnamese","2014-12-02"
"95",107,"0WoQQlMXVIDEgI0xNdENKA","""Feast Buffet""",1,"South Summerlin",1872.5,3.5,568,"Restaurants;Buffets","2007-03-31"
"96",108,"0wW9PasC8pw8SY7rlY3ZKw","""Fish King Grill""",1,"Southeast",1395,4.5,102,"Southern;Food;Restaurants;Seafood;Cajun/Creole;Desserts;Salad","2017-04-03"
"97",111,"0zoXYHq82haayMaV952jEQ","""Greens and Proteins""",1,"Spring Valley",1300,4,355,"Sandwiches;Juice Bars & Smoothies;Pizza;Burgers;Food;Restaurants;American (New)","2013-02-16"
"98",112,"1_eNhr53_bTPy11vvVL4Hw","""El Tinajon Cuban Food""",1,"Eastside",1100,3.5,38,"Cuban;Restaurants","2016-01-07"
"99",113,"1-Jdq5Up9SgKoqptGvkXHA","""MVR Auto Services""",1,"Southwest",1450,4.5,74,"Automotive;Oil Change Stations;Pizza;Auto Insurance;Auto Parts & Supplies;Financial Services;Windshield Installation & Repair;Auto Glass Services;Insurance;Towing;Transmission Repair;Restaurants;Auto Repair","2016-06-02"
"100",114,"12P7GjIoq6oj7qCyJ_c0Ag","""Little Caesars Pizza""",1,"Northwest",1330,2,26,"Restaurants;Pizza;Italian","2012-09-25"
"101",115,"153QMny_1adtMtsf6MP95A","""Starbucks""",1,"The Strip",855,2,10,"Coffee & Tea;Food","2015-01-01"
"102",116,"16tWXenJ1wTqugXJU7yiZg","""808 Sushi""",1,"Southwest",1250,3.5,451,"Sushi Bars;Food;Desserts;Restaurants","2010-02-06"
"103",117,"19lr9xcN3Ud0w0UX7bl6Qw","""Subway""",1,"Centennial",1350,2.5,24,"Restaurants;Fast Food;Sandwiches","2010-08-25"
"104",118,"19S0gFtg5GTX6CkiApJiAQ","""Frijoles & Frescas Grilled Tacos""",1,"Westside",1400,4,419,"Caterers;Event Planning & Services;Mexican;Restaurants","2014-04-12"
"105",119,"19wIOjBlI_2EKGM8E4O6Mg","""Quiznos""",1,"Centennial",1350,3,26,"Restaurants;Sandwiches;Fast Food;Delis","2011-06-29"
"106",120,"1B7oil1p-lkorF0ig5G54g","""The Coffee Bean & Tea Leaf""",1,"Southeast",855,3.5,78,"Food;Coffee & Tea","2010-07-28"
"107",121,"1CTapYK3FHvpiJaQhOaaIw","""L & L Hawaiian Barbecue""",1,"Southeast",1395,3.5,92,"Hawaiian;Restaurants;Barbeque","2010-04-09"
"108",122,"1CWMNSTRMejdSyXBG2chNg","""Fireside Restaurant & Tavern""",1,"Anthem",1300,3.5,127,"Nightlife;American (New);Bars;Gastropubs;Restaurants","2008-01-21"
"109",123,"1diuAK7FMn93WxlK-ndJhA","""Bowlology""",1,"University",855,3.5,47,"Gluten-Free;Poke;Vegan;Food;Acai Bowls;Juice Bars & Smoothies;Restaurants","2016-04-20"
"110",124,"1g47zyA_utx8mpgmtLc6tg","""Teriyaki Madness""",1,"The Lakes",1400,3,21,"Fast Food;Asian Fusion;Japanese;Hawaiian;Restaurants","2016-12-22"
"111",125,"1gjhtfYxlN-0xjS9Xdh66g","""Jack-In-the-Box #7239""",1,"Westside",1400,3.5,22,"Restaurants;Fast Food","2010-12-23"
"112",126,"1h3ysSuSazvXc1aeLiiOew","""Subway""",1,"The Strip",855,3,5,"Restaurants;Fast Food;Sandwiches","2016-10-12"
"113",127,"1i9T1uoG_J3aRfprALvNGQ","""Dunkin' Donuts""",1,"Summerlin",1872.5,3,86,"Coffee & Tea;Food;Donuts","2010-04-26"
"114",128,"1kHr1RTkm_J-dfrq-HPBug","""Viva El Taco""",1,"Sunrise",995,3.5,30,"Mexican;Restaurants","2010-09-28"
"115",129,"1M1A-s6BbnzK3eURw01rZQ","""Rincon Catracho""",1,"University",855,3.5,59,"Restaurants;Mexican;Latin American;Honduran","2009-07-23"
"116",130,"1ME-zOtZ9HApzJUOpR0-vQ","""El Herradero Mexican Restaurant""",1,"Southeast",855,4,82,"Mexican;Restaurants","2010-06-11"
"117",131,"1NZNZHnGE4-FLZmU6xp3oQ","""Kung Pao Wok""",1,"Downtown",1100,2,29,"Restaurants;Chinese;Fast Food","2014-11-19"
"118",132,"1rULAY9Q_mfZIZtPhgqnmw","""Teavana""",0,"Southeast",855,4,74,"Coffee & Tea;Food","2008-04-18"
"119",133,"1SE9f6TEV5XhnTuuK01xwA","""Wingstop""",1,"Eastside",855,3,150,"Fast Food;Restaurants;Chicken Wings;Food","2013-01-30"
"120",134,"1SqLPgnZEVeVYDM-AuoFhg","""Pop's Philly Steaks""",1,"Westside",1100,3.5,534,"Restaurants;Sandwiches;Cheesesteaks","2006-10-01"
"121",136,"1UvrUFk3BXAmueL1KQaKPQ","""Fiesta Filipina Cuisine""",1,"Southwest",1250,3.5,58,"Restaurants;Filipino","2016-03-12"
"122",137,"1Vn_lex3LGGwuTo-xeJnww","""Yogurtland""",1,"Spring Valley",1300,4,122,"Ice Cream & Frozen Yogurt;Food","2009-08-04"
"123",138,"1WBVqmo7tgF0z0eGf4fPhQ","""Pastaidea""",1,"Summerlin",1100,4.5,364,"Restaurants;Italian;Noodles","2015-10-17"
"124",139,"1ZhZUzFbbt1gGXDEW3JaBw","""Griff's""",1,"Chinatown",1225,4.5,32,"Nightlife;Sports Bars;American (Traditional);Restaurants;Bars;Pool Halls","2016-11-27"
"125",140,"217u7Wad7y90x4el26-TIw","""Capriotti's Sandwich Shop""",1,"Centennial",1330,4,79,"Restaurants;Sandwiches","2008-08-04"
"126",141,"296PZdxSrtH08EUwCsOKMw","""Michael's Gourmet Room""",1,"Southeast",1300,4.5,141,"Steakhouses;Seafood;Restaurants;American (Traditional)","2006-09-02"
"127",142,"2aPbaa0FFbN9AdPtxHqbVg","""Tables Board Game Spot""",0,"Southeast",1395,5,12,"Cafes;Shopping;Arcades;Social Clubs;Arts & Entertainment;Restaurants;Tabletop Games","2017-06-11"
"128",143,"2B46bRpDh49eDyjXGhL_ZQ","""La Maison de Maggie""",1,"Spring Valley",1400,4.5,293,"Creperies;French;Gluten-Free;Restaurants;Cafes","2015-08-17"
"129",145,"2bK1ng2mnRdtTh_BDNGmIg","""North End Pizza""",1,"Centennial",1350,3,287,"Restaurants;Pizza;Italian","2010-04-23"
"130",146,"2bSyNMam79SlwiHwQD6RGg","""Subway""",1,"The Lakes",1400,3.5,17,"Sandwiches;Restaurants;Fast Food","2011-08-31"
"131",147,"2dUXkonsAdoXKAalTnmlig","""Dimas Tacos""",0,"Northwest",1330,4,35,"Restaurants;Mexican","2011-04-07"
"132",148,"2DydwQRkIutHarWT_o1L0Q","""Don Chuy Mexican Grill""",1,"Spring Valley",1100,3,50,"Mexican;Fast Food;Tacos;Restaurants","2014-01-08"
"133",149,"2g_auUWw7c3c2CUTgVqI8Q","""Pho 88""",1,"Southwest",1450,4.5,95,"Vietnamese;Noodles;Restaurants","2017-05-26"
"134",150,"2GzQ1Cc7eDWhKrqNAR1kAA","""Chipotle Mexican Grill""",1,"Eastside",1375,3,32,"Mexican;Restaurants;Fast Food","2015-07-22"
"135",151,"2hrj6ISpLJmvRen3AZkBWw","""Subway""",1,"Northwest",1350,3,13,"Restaurants;Sandwiches;Fast Food","2013-01-07"
"136",152,"2hSIeCX2cV-chFcBBXrZZA","""Pressed For Juice""",1,"Spring Valley",1475,4.5,161,"Juice Bars & Smoothies;Food;Organic Stores;Restaurants;Coffee & Tea;Gluten-Free","2015-03-30"
"137",153,"2HxaDXZmAOH6LiuzGgNdPA","""Farmer Boys""",1,"Spring Valley",1100,3,161,"Mexican;Salad;Burgers;American (Traditional);Restaurants;Sandwiches;Breakfast & Brunch","2016-01-08"
"138",154,"2IvrdAb6zdxr3ZqplqJHbg","""Jose Cuervo Tequileria""",1,"Southeast",855,2,434,"Restaurants;Mexican","2007-06-18"
"139",155,"2koVk44qPX7mV8irHO_e3A","""Filipino Fast Food & Asian Market""",1,"Southeast",1395,3.5,10,"Restaurants;Fast Food;Filipino","2016-02-26"
"140",156,"2kWrSFkIes_d2BMg4YrRtA","""Pizza Hut""",1,"Sunrise",1000,2.5,15,"Restaurants;Pizza","2013-06-20"
"141",157,"2LNnIARy-lGmrlEMZSxZ1w","""Great Buns Bakery""",1,"Eastside",1100,4.5,126,"Food;Desserts;Restaurants;Sandwiches;Bakeries","2006-10-08"
"142",158,"2nEhcvxBZk2W4x_fi0cYxw","""Roberto's Taco Shop""",1,"Sunrise",1000,2.5,13,"Restaurants;Mexican;Fast Food","2007-04-05"
"143",159,"2oSmaFSi0GSDPTOHOKeQHQ","""P-Dub's BBQ""",1,"Eastside",1375,3,4,"Barbeque;Restaurants","2017-03-12"
"144",160,"2pcrNqDnsFd6UCelOriVlw","""Taco Bell""",1,"Northwest",1095,2.5,11,"Fast Food;Mexican;Restaurants;Tex-Mex","2009-08-11"
"145",161,"2pTq2dbPsSQwQJWUH5tE-w","""Taco Bell""",1,"Summerlin",1872.5,3,26,"Fast Food;Tex-Mex;Mexican;Restaurants","2011-06-03"
"146",162,"2Q9Mgkc7iFHuKoD_z7kJkQ","""Lokuras""",1,"Chinatown",1225,4.5,44,"Desserts;Restaurants;Food;Mexican;Shaved Ice;Ice Cream & Frozen Yogurt","2016-07-02"
"147",163,"2rvBPUBtQU0WfcOAHLQWRQ","""Crunch Donut Factory""",1,"University",855,3.5,105,"Cupcakes;Food;Restaurants;Donuts;Desserts;Ice Cream & Frozen Yogurt;Waffles","2016-11-07"
"148",164,"2s2ww6WaulfOEI16s1uyDg","""Cafe Darak""",1,"Spring Valley",1300,4,308,"Food;Coffee & Tea","2014-04-05"
"149",165,"2SfSzEd3B7WimeZac23zhg","""Leoné Café""",1,"Westside",1510,4,539,"Breakfast & Brunch;Restaurants;Cafes;Food;Italian;Coffee & Tea","2011-05-18"
"150",166,"2sjfncn3GNHpKZDAcsm1Uw","""Mariscos El Tapatio""",1,"Southeast",1300,4.5,17,"Mexican;Restaurants","2016-07-05"
"151",167,"2Wl4o7l54I-EtxtaDpOTzA","""Pub 365""",1,"Eastside",1375,4,110,"Beer Bar;Burgers;Salad;American (Traditional);Mexican;Restaurants;Bars;Nightlife;Pubs","2016-07-01"
"152",168,"2xCswTbQwG6CVka0U3XayQ","""Pho Kitchen""",0,"Chinatown",1225,4,20,"Restaurants;Vietnamese","2017-05-19"
"153",169,"2xjMLX8vNpQEisRKPgbP_w","""Rolling In Dough Bakery""",1,"Summerlin",1872.5,3.5,174,"Bakeries;Food","2007-06-24"
"154",170,"2XkVexeY_8zyc9nriSElQg","""Taco Tijuana""",1,"Eastside",1100,4,173,"Mexican;Restaurants;Food","2013-04-16"
